code_module,code_presentation,id_student,gender,highest_education,age_band,num_previous_attempts,disability_status,final_result,risk_label,lms_clicks_7d,lms_clicks_14d,lms_clicks_30d,lms_unique_resources_7d,days_since_last_lms_activity,lms_7d_vs_14d_percent_change,engagement_acceleration,assessment_submission_rate,weighted_assessment_score,late_submission_count,total_assessments_completed,assessment_score_trend
AAA,2013J,11391,M,HE Qualification,55<=,0,N,Pass,0,0.0,0.0,93.0,0.0,16.0,0.0,0.0,0.8333333333333334,82.4,0.0,5.0,4.0
AAA,2013J,28400,F,HE Qualification,35-55,0,N,Pass,0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.8333333333333334,65.4,2.0,5.0,-10.0
AAA,2013J,30268,F,A Level or Equivalent,35-55,0,Y,Withdrawn,1,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA,2013J,31604,F,A Level or Equivalent,35-55,0,N,Pass,0,1.0,3.0,121.0,1.0,5.0,-0.5,-1.0,0.8333333333333334,76.3,0.0,5.0,3.0
AAA,2013J,32885,F,Lower Than A Level,0-35,0,N,Pass,0,0.0,0.0,10.0,0.0,22.0,0.0,0.0,0.8333333333333334,55.0,5.0,5.0,6.0
AAA,2013J,38053,M,A Level or Equivalent,35-55,0,N,Pass,0,4.0,6.0,84.0,1.0,2.0,1.0,2.0,0.8333333333333334,66.9,1.0,5.0,-11.0
AAA,2013J,45462,M,HE Qualification,0-35,0,N,Pass,0,1.0,1.0,127.0,1.0,2.0,1.0,1.0,0.8333333333333334,67.8,2.0,5.0,-2.0
AAA,2013J,45642,F,A Level or Equivalent,0-35,0,N,Pass,0,9.0,12.0,29.0,2.0,5.0,2.0,6.0,0.8333333333333334,72.5,2.0,5.0,1.0
AAA,2013J,52130,F,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,50.0,0.0,24.0,0.0,0.0,0.8333333333333334,71.2,1.0,5.0,-2.0
AAA,2013J,53025,M,Post Graduate Qualification,55<=,0,N,Pass,0,0.0,1.0,129.0,0.0,12.0,-1.0,-1.0,0.8333333333333334,79.0,0.0,5.0,10.0
AAA,2013J,57506,M,Lower Than A Level,35-55,0,N,Pass,0,0.0,0.0,52.0,0.0,26.0,0.0,0.0,0.8333333333333334,74.0,0.0,5.0,0.0
AAA,2013J,58873,F,A Level or Equivalent,0-35,0,N,Pass,0,0.0,1.0,35.0,0.0,13.0,-1.0,-1.0,0.8333333333333334,73.7,1.0,5.0,5.0
AAA,2013J,59185,M,Lower Than A Level,35-55,0,N,Pass,0,0.0,0.0,63.0,0.0,24.0,0.0,0.0,0.8333333333333334,80.8,0.0,5.0,22.0
AAA,2013J,62155,F,HE Qualification,0-35,0,N,Pass,0,1.0,2.0,100.0,1.0,4.0,0.0,0.0,0.8333333333333334,76.4,0.0,5.0,4.0
AAA,2013J,63400,M,Lower Than A Level,35-55,0,N,Pass,0,26.0,29.0,78.0,3.0,1.0,7.666666666666667,23.0,0.8333333333333334,71.2,0.0,5.0,-4.0
AAA,2013J,65002,F,A Level or Equivalent,0-35,0,N,Withdrawn,1,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.3333333333333333,20.2,0.0,2.0,2.0
AAA,2013J,70464,F,A Level or Equivalent,35-55,0,N,Pass,0,0.0,0.0,19.0,0.0,21.0,0.0,0.0,0.8333333333333334,53.5,0.0,5.0,-21.0
AAA,2013J,71361,M,HE Qualification,35-55,0,N,Pass,0,0.0,0.0,69.0,0.0,26.0,0.0,0.0,0.8333333333333334,79.69999999999999,0.0,5.0,-7.0
AAA,2013J,74372,M,A Level or Equivalent,35-55,0,N,Fail,1,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.6666666666666666,32.8,2.0,4.0,-11.0
AAA,2013J,75091,M,A Level or Equivalent,35-55,0,N,Pass,0,0.0,0.0,103.0,0.0,15.0,0.0,0.0,0.8333333333333334,65.8,1.0,5.0,-2.0
AAA,2013J,77367,M,A Level or Equivalent,0-35,0,N,Pass,0,0.0,0.0,13.0,0.0,19.0,0.0,0.0,0.8333333333333334,69.5,1.0,5.0,-9.0
